category_id,category_name,description
1,Electronics,"Smart gadgets, wireless devices, and cutting-edge consumer electronics."
2,Fashion & Apparel,"Trendy clothing, outerwear, footwear, and apparel for men, women, and kids."
3,Home & Kitchen,"Essential kitchen appliances, cookware, dining accessories, and home utility tools."
4,Beauty & Personal Care,"Premium skincare, hair care, cosmetics, personal hygiene, and beauty products."
5,Sports & Outdoors,"High-performance sports gear, outdoor camping equipment, and athletic apparel."
6,Books & Stationery,"Bestselling novels, educational materials, creative notebooks, and artistic items."
7,Toys & Hobbies,"Fun games, educational toys, puzzles, building blocks, and hobby kits for all ages."
8,Automotive & Industrial,"Automotive replacement parts, car care accessories, and vehicle maintenance tools."
9,Health & Wellness,"Dietary supplements, protein powders, fitness trackers, and wellness equipment."
10,Groceries & Pet Supplies,"Organic grocery essentials, healthy snacks, pet food, and pet care accessories."
11,Baby Products,"Safe, high-quality baby gear, gentle wipes, nursery bedding, and toys for infants."
12,Jewelry & Accessories,"Elegant necklaces, minimalist watches, designer sunglasses, and premium bags."
13,Computers & Accessories,"Laptops, mechanical keyboards, gaming mice, storage drives, and laptop bags."
14,Phones & Tablets,"Latest smartphones, tablets, durable cases, and fast charging cables."
15,Cameras & Audio,"Professional cameras, vlogging microphones, studio headphones, and tripod stands."
16,Furniture & Decor,"Modern living room furniture, abstract wall decor, and cozy home styling items."
17,Garden & Outdoor,"Vibrant solar garden lights, durable pruning shears, and herb starting kits."
18,Tools & Improvement,"Reliable power drills, comprehensive screwdriver kits, and home improvement gear."
19,Musical Instruments,"Acoustic guitars, electronic keyboards, kalimbas, and musical accessories."
20,Office Supplies,"Paper shredders, desktop whiteboards, filing folders, and ergonomic desk mats."
