threads,mechanism,avg_success,avg_fail,avg_elapsed_ms,tps,negative_stock
100,NO_LOCK,55,44,1,23068.29,0
100,SYNCHRONIZED,55,45,1,32258.06,0
100,FILE_LOCK,55,45,12,4448.02,0
100,OPTIMISTIC_LOCK,55,45,12,4318.43,0
250,NO_LOCK,55,195,4,11262.18,0
250,SYNCHRONIZED,55,195,1,32878.02,0
250,FILE_LOCK,55,195,19,2806.03,0
250,OPTIMISTIC_LOCK,55,195,28,1909.92,0
500,NO_LOCK,55,444,0,111501.76,0
500,SYNCHRONIZED,55,445,0,118547.26,0
500,FILE_LOCK,55,445,30,1785.17,0
500,OPTIMISTIC_LOCK,55,445,21,2504.00,0
1000,NO_LOCK,55,944,0,56142.84,0
1000,SYNCHRONIZED,55,945,0,90267.52,0
1000,FILE_LOCK,55,945,52,1033.79,0
1000,OPTIMISTIC_LOCK,55,945,14,3675.41,0
